Math Item #,Math,Marine,Marine Item #,Explanation,Lecture #,Exam,Date,# Math Items,# New Math Items,# Marine Items,# New Marine Items,,,,,,,,,,,,,,,,,,
20,powers of 10,trophic level,48,"form/function, 3 trophic levels can support bigger animals, loses less energy, lose ~90% each level, biggest animals are herbivores/sustainability, krill vs. killer whales",,,,,,,,,,,,,,,,,,,,,,,,,
44,discrete growth,trophic level energetics,47,"form/function, 3 trophic levels can support bigger animals, loses less energy, lose ~90% each level, biggest animals are herbivores/sustainability, krill vs. killer whales",,,,,,,,,,,,,,,,,,,,,,,,,
45,solving simultaneous linear equations,photosynthesis,45,see figure in ppt.,,,,,,,,,,,,,,,,,,,,,,,,,
42,graphing,transects,10,experimental design,12,3,11/1/2017,7,3,6,5,,,,,,,,,,,,,,,,,,
12,percentage,organic content,49,loss on ignition,,,,,,,,,,,,,,,,,,,,,,,,,
12,percentage,carbonate content,50,loss on ignition,,,,,,,,,,,,,,,,,,,,,,,,,
8,log,sediment analysis,51,log 5 series sediment analysis for sieve sizes,,,,,,,,,,,,,,,,,,,,,,,,,
27,mean,graphic mean,52,"graphic mean for sediment analysis, central tendency",,,,,,,,,,,,,,,,,,,,,,,,,
46,standard deviation,inclusive graphic standard deviation,53,"inclusive graphic standard deviation for sediment analysis, variation",,,,,,,,,,,,,,,,,,,,,,,,,
47,skewness,sediment analysis,51,"skewness for sediment analysis, distribution",,,,,,,,,,,,,,,,,,,,,,,,,
48,kurtosis,sediment analysis,51,"kurtosis for sediment analysis, distribution",,,,,,,,,,,,,,,,,,,,,,,,,
49,direct variation,salinity,15,salinity varies according to distance from saltwater tides or freshwater/river input,13,3,11/15/2017,5,4,8,7,,,,,,,,,,,,,,,,,,
49,direct variation,estuarities,54,salinity varies according to distance from saltwater tides or freshwater/river input,,,,,,,,,,,,,,,,,,,,,,,,,
50,independent/depedent variables,salinity,15,"salinity is a function of  . . ., saltwater sinks below freshwater/density",,,,,,,,,,,,,,,,,,,,,,,,,
50,independent/depedent variables,depth,55,"salinity is a function of  . . ., saltwater sinks below freshwater/density",,,,,,,,,,,,,,,,,,,,,,,,,
50,independent/depedent variables,storms,56,"salinity is a function of  . . ., saltwater sinks below freshwater/density",,,,,,,,,,,,,,,,,,,,,,,,,
50,independent/depedent variables,distance,57,"salinity is a function of  . . ., saltwater sinks below freshwater/density",,,,,,,,,,,,,,,,,,,,,,,,,
49,direct/inverse variation,salinity,15,"salinity varies inversely with depth (generally, see halocline diagram)",,,,,,,,,,,,,,,,,,,,,,,,,
51,flow/rate of change,outgoing/incoming tide & salt peak,58,see diagrams,,,,,,,,,,,,,,,,,,,,,,,,,
52,flux,outgoing/incoming tide & salt peak,58,see diagrams,,,,,,,,,,,,,,,,,,,,,,,,,
51,rate of change,conformer/regulator,59,"saltwater vs. freshwater movement, osmoregulators vs. osmoconformers",,,,,,,,,,,,,,,,,,,,,,,,,
30,model,conformer/regulator,59,"experiental design on worms to get osmoconformer curver, graphic illustration of text",,,,,,,,,,,,,,,,,,,,,,,,,
51,flow/rate of change,water flow,60,"the faster the water, the heavier stuff it moves; the slower the water, the finer the silt",,,,,,,,,,,,,,,,,,,,,,,,,
41,interaction,habitat degradation,61,"interaction is just as important as each reason for habitat degradation (temp, etc.)",14,4,11/29/2017,3,1,2,2,,,,,,,,,,,,,,,,,,
43,systems,predation mediated competition,62,"in a reef, coral/algae/parrotfish/pollution interaction, coral and algae compete for space",,,,,,,,,,,,,,,,,,,,,,,,,
53,differential equations,predation mediated competition,62,"in a reef, coral/algae/parrotfish/pollution interaction, coral and algae compete for space",,,,,,,,,,,,,,,,,,,,,,,,,
38,function,effectiveness,63,"MPA effectiveness is a function of stakeholder buy-in & policing: Vf(B,E)",15,4,12/1/2017,2,0,2,2,,,,,,,,,,,,,,,,,,
4,optimization,marine protected areas,64,MPAs should be designed to optimize effectiveness given funding,,,,,,,,,,,,,,,,,,,,,,,,,
38,objective function,marine protected areas,64,"objective function is V, see effectiveness",,,,,,,,,,,,,,,,,,,,,,,,,
30,harvest model,fisheries,65,"overexploitation, dN/dt = rN(1-N/K)-h, when is f(N)>0",16,4,12/6/2017,1,0,1,1,,,,,,,,,,,,,,,,,,
,,,,,,,,Check:,-53,Check:,-65,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
